
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
761,Mac Williamson,25,SFG,54,127,112,14,25,3,0,6,15,0,1,13,35,.223,.315,.411,.726,93,46,4,2,0,0,0,97/D
762,Daniel Winkler,26,ATL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
763,Matt Wisler,23,ATL,29,53,46,2,7,0,0,0,2,0,0,1,21,.152,.167,.152,.319,-13,7,2,0,5,1,0,1
764,Chris Withrow,27,ATL,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
765,Nick Wittgren,25,MIA,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
766,Tony Wolters*,24,COL,71,230,205,27,53,15,2,3,30,4,1,21,53,.259,.327,.395,.723,80,81,1,0,4,0,2,2/46
767,Kolten Wong*,25,STL,121,361,313,39,75,7,7,5,23,7,0,34,52,.240,.327,.355,.682,83,111,3,9,0,5,2,4/879
768,Alex Wood,25,LAD,15,19,16,2,4,0,0,0,2,0,0,1,9,.250,.294,.250,.544,52,4,0,0,2,0,0,1
769,Blake Wood,30,CIN,70,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
770,Travis Wood,29,CHC,81,12,11,0,2,0,0,0,1,0,0,1,5,.182,.250,.182,.432,19,2,0,0,0,0,0,1/7
771,Daniel Wright,25,CIN,4,6,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
772,David Wright,33,NYM,37,164,137,18,31,8,0,7,14,3,2,26,55,.226,.350,.438,.788,110,60,0,0,0,0,0,5
773,Christian Yelich*,24,MIA,155,659,578,78,172,38,3,21,98,9,4,72,138,.298,.376,.483,.859,133,279,20,4,0,5,4,*78/D
774,Gabriel Ynoa,23,NYM,10,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
775,Rafael Ynoa#,28,COL,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/7
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
776,Madison Younginer,25,ATL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
777,Rob Zastryzny,24,CHC,8,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
778,Brad Ziegler,36,ARI,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
